Time,Flux
1885.6884579539528,14670.945
1885.689846862495,14707.423
1885.691235771038,14680.716
1885.692624679348,14697.035
1885.6940135878904,14685.793
1885.6954024964325,14682.022
1885.6967914047432,14700.637
1885.6981803132867,14700.758
1885.699569221829,14666.744
1885.7009581303719,14703.128
1885.702347038682,14689.229
1885.7037359472242,14688.77
1885.7051248557664,14692.93
1885.7065137643094,14712.433
1885.70790267262,14682.717
1885.709291581163,14680.624
1885.7106804897057,14703.672
1885.712069398016,14686.718
1885.713458306558,14700.823
1885.7148472151002,14675.12
1885.7162361236433,14689.506
1885.7176250319533,14706.409
1885.7190139404956,14693.447
1885.7204028490391,14719.0
1885.7217917575827,14734.154
1885.723180665892,14672.111
1885.7245695744343,14715.292
1885.7259584829771,14701.98
1885.7273473912874,14700.661
1885.7287362998295,14712.849
1885.7301252083716,14688.68
1885.7315141169152,14657.288
1885.732903025226,14682.854
1885.7342919337682,14706.568
1885.735680842311,14698.737
1885.737069750854,14702.336
1885.7384586591634,14719.201
1885.7398475677055,14695.372
1885.7412364762486,14715.735
1885.7426253845592,14698.025
1885.7440142931023,14687.996
1885.745403201645,14705.715
1885.746792110188,14697.827
1885.7481810184972,14706.479
1885.7495699270396,14710.851
1885.7509588355824,14696.644
1885.7523477438926,14686.054
1885.7537366524355,14707.607
1885.755125560979,14696.186
1885.7565144695218,14724.561
1885.7579033778313,14711.35
1885.7592922863735,14695.167
1885.7606811949163,14698.023
1885.7620701032265,14707.701
1885.7634590117686,14719.172
1885.7662368288552,14708.345
1885.7676257371652,14716.876
1885.7690146457076,14724.981
1885.7704035542504,14701.103
1885.7717924625604,14696.359
1885.7731813711025,14717.7705
1885.7745702796456,14720.84
1885.7759591881884,14700.2705
1885.7773480964984,14700.596
1885.7787370050414,14734.825
1885.7801259135842,14726.711
1885.7815148218942,14695.642
1885.7829037304366,14693.523
1885.7842926389787,14685.193
1885.7856815475216,14696.366
1885.7870704558318,14706.349
1885.7884593643746,14712.137
1885.7898482729183,14699.466
1885.7912371812283,14694.881
1885.7926260897705,14713.989
1885.7940149983128,14686.097
1885.7954039068557,14707.542
1885.7967928151656,14710.828
1885.7981817237078,14722.921
1885.7995706322515,14732.254
1885.8009595405622,14714.629
1885.8023484491046,14716.051
1885.8037373576467,14707.135
1885.8051262659567,14705.409
1885.8065151744995,14707.271
1885.8079040830419,14718.427
1885.8092929915847,14710.819
1885.810681899895,14676.149
1885.8120708084377,14729.024
1885.8148486252908,14710.179
1885.8162375338336,14731.822
1885.8176264423757,14712.083
1885.8190153506857,14680.365
1885.8204042592288,14687.556
1885.821793167771,14690.454
1885.8231820760811,14691.649
1885.8245709846246,14702.822
1885.8259598931675,14712.978
1885.8273488017098,14710.846
1885.8287377100198,14668.655
1885.8301266185626,14734.045
1885.8315155271048,14715.985
1885.8329044354143,14717.7705
1885.834293343958,14702.262
1885.8356822525016,14698.3545
1885.8370711608109,14730.515
1885.838460069353,14710.203
1885.839848977896,14700.446
1885.841237886206,14698.048
1885.8426267947482,14693.575
1885.844015703291,14708.845
1885.845404611602,14690.527
1885.8467935201447,14664.301
1885.848182428687,14710.806
1885.849571336997,14698.27
1885.8509602455401,14709.086
1885.8523491540823,14700.295
1885.8537380623923,14709.837
1885.855126970935,14715.287
1885.8565158794775,14686.646
1885.8579047877874,14714.961
1885.859293696331,14719.513
1885.860682604874,14706.031
1885.8620715131833,14699.538
1885.8634604217264,14683.423
1885.8648493302692,14688.13
1885.8662382385785,14709.397
